,RACE2,Art,Business,Healthcare,Maintenance,Military,Production,Sales,Science,Services,Transport,% STEM
0,Asian-Indian,0.091,0.22113636363636363,0.1040909090909091,0.01440909090909091,0.0005454545454545455,0.028045454545454547,0.15690909090909091,0.27386363636363636,0.07336363636363637,0.036636363636363634,0.37795454545454543
1,Bangladeshi,0.10610932475884244,0.12861736334405144,0.055734190782422297,0.011789924973204717,,0.030010718113612004,0.26688102893890675,0.13183279742765272,0.15005359056806003,0.1189710610932476,0.187566988210075
2,Bhutanese,0.031578947368421054,0.05263157894736842,0.021052631578947368,0.042105263157894736,,0.22105263157894736,0.09473684210526316,0.021052631578947368,0.3368421052631579,0.17894736842105263,0.042105263157894736
3,Burmese,0.06230529595015576,0.059190031152647975,0.04205607476635514,0.04361370716510903,,0.2554517133956386,0.1261682242990654,0.056074766355140186,0.22585669781931464,0.1292834890965732,0.09813084112149532
4,Cambodian,0.05620608899297424,0.09679937548790007,0.04449648711943794,0.0546448087431694,0.0039032006245121,0.1865729898516784,0.1920374707259953,0.0702576112412178,0.22092115534738485,0.0741608118657299,0.11475409836065573
5,Chinese,0.12114218658321925,0.198630940739292,0.06246821826716214,0.024447486798357128,0.0007040876197926853,0.03207510267944455,0.18775669861138275,0.17829063172305887,0.15986700567181694,0.03461764130647369,0.240758849990221
6,Filipino,0.07148420115709836,0.12622385402759234,0.1718958611481976,0.033655985758789496,0.0053404539385847796,0.054850912327547845,0.20410547396528705,0.07498887405429462,0.20482866043613707,0.05262572318647085,0.2468847352024922
7,Hmong,0.07027463651050081,0.11066235864297254,0.046849757673667204,0.050080775444264945,0.0016155088852988692,0.18174474959612277,0.2172859450726979,0.06462035541195477,0.17609046849757673,0.08077544426494346,0.11147011308562196
8,Indonesian,0.09330143540669857,0.17703349282296652,0.07177033492822966,0.019138755980861243,0.0023923444976076554,0.0430622009569378,0.21291866028708134,0.09569377990430622,0.21291866028708134,0.07177033492822966,0.16746411483253587
9,Japanese,0.15537933990570083,0.23039005572224602,0.06515216459494214,0.03429061294470639,0.0015002143163309043,0.023789112730390055,0.23660522931847408,0.09665666523789113,0.11808829832833262,0.038148306900985855,0.16180882983283326
10,Korean,0.15318668922729836,0.20248166948674562,0.09272419627749577,0.025493513818386916,0.0040609137055837565,0.04128595600676819,0.2161308516638466,0.09802594472645235,0.1355893965031021,0.03102086858432036,0.1907501410039481
11,Laotian,0.04878048780487805,0.08878048780487804,0.04390243902439024,0.05170731707317073,,0.21560975609756097,0.20390243902439023,0.0624390243902439,0.19317073170731708,0.09170731707317073,0.10634146341463414
12,Malaysian,0.13333333333333333,0.24166666666666667,0.075,0.016666666666666666,,0.025,0.23333333333333334,0.11666666666666667,0.1,0.058333333333333334,0.19166666666666665
13,Mongolian,0.08080808080808081,0.16161616161616163,0.04040404040404041,0.0707070707070707,,0.030303030303030304,0.1919191919191919,0.08080808080808081,0.2828282828282828,0.06060606060606061,0.12121212121212122
14,Nepalese,0.07713498622589532,0.07575757575757576,0.07300275482093664,0.024793388429752067,0.0013774104683195593,0.081267217630854,0.19972451790633608,0.1322314049586777,0.20798898071625344,0.12672176308539945,0.20523415977961434
15,Other-Asian,0.140607424071991,0.15073115860517436,0.0719910011248594,0.0359955005624297,0.0011248593925759281,0.06636670416197975,0.1597300337457818,0.1203599550056243,0.1856017997750281,0.06749156355455568,0.1923509561304837
16,Pakistani,0.09977827050997783,0.18802660753880265,0.08647450110864745,0.02261640798226164,0.0008869179600886918,0.03325942350332594,0.24035476718403548,0.1352549889135255,0.10465631929046564,0.08869179600886919,0.22172949002217296
17,Sri-Lankan,0.20670391061452514,0.19273743016759776,0.08100558659217877,0.0111731843575419,,0.01675977653631285,0.15921787709497207,0.15921787709497207,0.11731843575418995,0.055865921787709494,0.24022346368715083
18,Taiwanese,0.1800670016750419,0.21943048576214405,0.09045226130653267,0.010050251256281407,0.0016750418760469012,0.008375209380234505,0.14489112227805695,0.25041876046901174,0.07956448911222781,0.01507537688442211,0.3408710217755444
19,Thai,0.0794044665012407,0.1555004135649297,0.07113316790736146,0.02977667493796526,0.0033085194375516956,0.055417700578990904,0.17369727047146402,0.07278742762613731,0.30851943755169564,0.050454921422663356,0.14392059553349879
20,Vietnamese,0.059917553446457675,0.11628798772888506,0.07017543859649122,0.04802991084268047,0.0032595149074872974,0.11600038347234205,0.15645671555939028,0.10372926852650753,0.28194803949765124,0.04419518742210718,0.17390470712299877
