,RACE,EDU,ST,RACE2,% Total Pop,% Asian Pop,% Race Pop
0,38,B.S._Degree,8789,Asian-Indian,0.003566071320614927,0.06576230096971149,31.86%
1,38,Highschool,2176,Asian-Indian,0.0008828958008485699,0.016281575481862803,7.89%
2,38,M.S._Degree,8087,Asian-Indian,0.0032812400466279345,0.06050969711480905,29.32%
3,38,No_Highschool,1942,Asian-Indian,0.0007879520428529058,0.01453070753022866,7.04%
4,38,PhD_or_Prof,3057,Asian-Indian,0.0012403549922766904,0.022873518496348617,11.08%
5,38,Some_College,3531,Asian-Indian,0.001432676963601241,0.026420148449658804,12.80%
6,39,B.S._Degree,335,Bangladeshi,0.00013592375610490393,0.002506584460672812,26.57%
7,39,Highschool,201,Bangladeshi,8.155425366294236e-05,0.0015039506764036874,15.94%
8,39,M.S._Degree,215,Bangladeshi,8.723464944046073e-05,0.00160870345983479,17.05%
9,39,No_Highschool,182,Bangladeshi,7.384514510773885e-05,0.0013617861846043338,14.43%
10,39,PhD_or_Prof,78,Bangladeshi,3.164791933188808e-05,0.0005836226505447145,6.19%
11,39,Some_College,250,Bangladeshi,0.00010143563888425666,0.0018705854184125465,19.83%
12,40,B.S._Degree,14,Bhutanese,5.680395777518373e-06,0.0001047527834311026,10.85%
13,40,Highschool,25,Bhutanese,1.0143563888425666e-05,0.00018705854184125463,19.38%
14,40,M.S._Degree,6,Bhutanese,2.43445533322216e-06,4.489405004190111e-05,4.65%
15,40,No_Highschool,63,Bhutanese,2.5561780998832678e-05,0.0004713875254399617,48.84%
16,40,PhD_or_Prof,1,Bhutanese,4.0574255553702665e-07,7.482341673650185e-06,0.78%
17,40,Some_College,20,Bhutanese,8.114851110740534e-06,0.00014964683347300372,15.50%
18,41,B.S._Degree,130,Burmese,5.274653221981346e-05,0.0009727044175745241,15.66%
19,41,Highschool,154,Burmese,6.248435355270211e-05,0.0011522806177421286,18.55%
20,41,M.S._Degree,32,Burmese,1.2983761777184853e-05,0.00023943493355680593,3.86%
21,41,No_Highschool,343,Burmese,0.00013916969654920015,0.0025664431940620137,41.33%
22,41,PhD_or_Prof,30,Burmese,1.2172276666110799e-05,0.00022447025020950556,3.61%
23,41,Some_College,141,Burmese,5.720970033072076e-05,0.0010550101759846762,16.99%
24,42,B.S._Degree,256,Cambodian,0.00010387009421747882,0.0019154794684544474,15.51%
25,42,Highschool,426,Cambodian,0.00017284632865877334,0.003187477552974979,25.80%
26,42,M.S._Degree,55,Cambodian,2.2315840554536465e-05,0.0004115287920507602,3.33%
27,42,No_Highschool,475,Cambodian,0.00019272771388008765,0.003554112294983838,28.77%
28,42,PhD_or_Prof,19,Cambodian,7.709108555203506e-06,0.00014216449179935354,1.15%
29,42,Some_College,420,Cambodian,0.0001704118733255512,0.003142583502933078,25.44%
30,43,B.S._Degree,9347,Chinese,0.003792475666604588,0.06993744762360829,27.34%
31,43,Highschool,4819,Chinese,0.0019552733751329312,0.03605740452532025,14.09%
32,43,M.S._Degree,5795,Chinese,0.0023512781093370694,0.04336016999880282,16.95%
33,43,No_Highschool,4746,Chinese,0.0019256541685787284,0.03551119358314378,13.88%
34,43,PhD_or_Prof,3377,Chinese,0.001370192610048539,0.025267867831916677,9.88%
35,43,Some_College,6109,Chinese,0.0024786812717756956,0.04570962528432898,17.87%
36,44,B.S._Degree,495,Taiwanese,0.0002008425649908282,0.003703759128456842,32.27%
37,44,Highschool,98,Taiwanese,3.976277044262861e-05,0.0007332694840177182,6.39%
