,RACE2,No_Highschool,Highschool,Some_College,B.S._Degree,M.S._Degree,PhD_or_Prof,B.S. Degree +,% Completed Highschool
0,Asian-Indian,0.07040823725618157,0.0788920310347328,0.12801827278659997,0.31864984410122543,0.29319846276557177,0.11083315205568849,0.7226814589224857,0.9295917627438184
1,Bangladeshi,0.14432989690721648,0.15939730372720062,0.19825535289452814,0.2656621728786677,0.17049960348929422,0.061855670103092786,0.49801744647105484,0.8556701030927836
2,Bhutanese,0.4883720930232558,0.1937984496124031,0.15503875968992248,0.10852713178294573,0.046511627906976744,0.007751937984496124,0.16279069767441862,0.5116279069767442
3,Burmese,0.41325301204819276,0.1855421686746988,0.16987951807228915,0.1566265060240964,0.03855421686746988,0.03614457831325301,0.23132530120481928,0.5867469879518072
4,Cambodian,0.28770442156268927,0.25802543912780135,0.2543912780133253,0.15505754088431253,0.03331314354936402,0.01150817686250757,0.1998788612961841,0.7122955784373107
5,Chinese,0.13880033925072383,0.14093527915070336,0.17866229930102653,0.2733600444535431,0.1694791331559091,0.09876290468809405,0.5416020822975464,0.8611996607492762
6,Filipino,0.060117878192534384,0.14939969438987122,0.30779305828421744,0.3850687622789784,0.05880812049770792,0.03881248635669068,0.482689369133377,0.9398821218074657
7,Hmong,0.19844861021331608,0.2650290885585003,0.334841628959276,0.1570782159017453,0.03555268261150614,0.00904977375565611,0.20168067226890768,0.8015513897866839
8,Indonesian,0.066543438077634,0.18484288354898337,0.2902033271719039,0.28650646950092423,0.13493530499075784,0.036968576709796676,0.45841035120147877,0.933456561922366
9,Japanese,0.04577611319184353,0.17880427243723124,0.2720210847551672,0.3288944375086697,0.11735330836454431,0.057150783742544044,0.5033985296157582,0.9542238868081565
10,Korean,0.06875368173020281,0.1500462846082639,0.21299335184717663,0.3485651771438189,0.12614659597744676,0.09349490869309098,0.5682066818143566,0.9312463182697972
11,Laotian,0.25075075075075076,0.3003003003003003,0.2672672672672673,0.14564564564564564,0.025525525525525526,0.010510510510510511,0.1816816816816817,0.7492492492492493
12,Malaysian,0.05921052631578947,0.09210526315789473,0.21052631578947367,0.3355263157894737,0.21052631578947367,0.09210526315789473,0.6381578947368421,0.9407894736842105
13,Mongolian,0.05084745762711865,0.09322033898305085,0.2457627118644068,0.3813559322033898,0.211864406779661,0.01694915254237288,0.6101694915254238,0.9491525423728814
14,Nepalese,0.21579532814238042,0.1635150166852058,0.21134593993325917,0.20578420467185762,0.1457174638487208,0.05784204671857619,0.4093437152391545,0.7842046718576196
15,Other-Asian,0.1375985977212971,0.16476774758983348,0.22962313759859773,0.22173531989482909,0.14285714285714285,0.10341805433829973,0.46801051709027164,0.8624014022787029
16,Pakistani,0.1275626423690205,0.14285714285714285,0.22388545395379109,0.2795314025382363,0.1470875366091767,0.0790758216726326,0.5056947608200455,0.8724373576309795
17,Sri-Lankan,0.060240963855421686,0.09879518072289156,0.21204819277108433,0.27228915662650605,0.20481927710843373,0.15180722891566265,0.6289156626506024,0.9397590361445783
18,Taiwanese,0.020208604954367666,0.06388526727509779,0.121251629726206,0.3226857887874837,0.30378096479791394,0.1681877444589309,0.7946544980443285,0.9797913950456323
19,Thai,0.16587395957193818,0.1611177170035672,0.22473246135552913,0.2812128418549346,0.1248513674197384,0.04221165279429251,0.4482758620689654,0.8341260404280618
20,Vietnamese,0.23653378527742983,0.19210080318325842,0.2643872964409402,0.21464888364895734,0.05180163584113182,0.04052759560828237,0.30697811509837153,0.7634662147225701
