,RACE,DECADE,ST,RACE2,% Total Pop,% Asian Pop,% Race Pop
0,38,1950 - 1959,47,Asian-Indian,1.5045507859517213e-05,0.00028025234636804887,0.13%
1,38,1960 - 1969,411,Asian-Indian,0.0001315681644736505,0.0024507173267503844,1.11%
2,38,1970 - 1979,1646,Asian-Indian,0.0005269128922716028,0.00981479493876188,4.44%
3,38,1980 - 1989,2983,Asian-Indian,0.0009549095732965924,0.017787079770550846,8.05%
4,38,1990 - 1999,5007,Asian-Indian,0.0016028267628213336,0.02985581911201746,13.51%
5,38,2000 - 2009,6658,Asian-Indian,0.0021313402410354384,0.039700428130180196,17.97%
6,38,2010 or later,9301,Asian-Indian,0.0029774099702419062,0.055460150501472814,25.10%
7,38,Before 1950,6,Asian-Indian,1.9207031310021973e-06,3.577689528102751e-05,0.02%
8,38,Born in US,10990,Asian-Indian,0.0035180879016190247,0.06553134652308205,29.66%
9,39,1950 - 1959,1,Bangladeshi,3.2011718850036624e-07,5.962815880171252e-06,0.06%
10,39,1960 - 1969,8,Bangladeshi,2.56093750800293e-06,4.770252704137002e-05,0.45%
11,39,1970 - 1979,39,Bangladeshi,1.2484570351514282e-05,0.00023254981932667882,2.18%
12,39,1980 - 1989,88,Bangladeshi,2.8170312588032227e-05,0.0005247277974550702,4.91%
13,39,1990 - 1999,284,Bangladeshi,9.0913281534104e-05,0.0016934397099686357,15.85%
14,39,2000 - 2009,364,Bangladeshi,0.0001165226566141333,0.0021704649803823356,20.31%
15,39,2010 or later,516,Bangladeshi,0.00016518046926618896,0.003076812994168366,28.79%
16,39,Born in US,492,Bangladeshi,0.00015749765674218018,0.002933705413044256,27.46%
17,40,1960 - 1969,1,Bhutanese,3.2011718850036624e-07,5.962815880171252e-06,0.54%
18,40,1970 - 1979,1,Bhutanese,3.2011718850036624e-07,5.962815880171252e-06,0.54%
19,40,1990 - 1999,4,Bhutanese,1.280468754001465e-06,2.385126352068501e-05,2.15%
20,40,2000 - 2009,69,Bhutanese,2.208808600652527e-05,0.0004114342957318164,37.10%
21,40,2010 or later,80,Bhutanese,2.5609375080029297e-05,0.0004770252704137002,43.01%
22,40,Born in US,31,Bhutanese,9.923632843511352e-06,0.0001848472922853088,16.67%
23,41,1960 - 1969,3,Burmese,9.603515655010987e-07,1.7888447640513757e-05,0.24%
24,41,1970 - 1979,25,Burmese,8.002929712509155e-06,0.0001490703970042813,1.96%
25,41,1980 - 1989,36,Burmese,1.1524218786013183e-05,0.00021466137168616508,2.83%
26,41,1990 - 1999,93,Burmese,2.977089853053406e-05,0.0005545418768559265,7.30%
27,41,2000 - 2009,327,Burmese,0.00010467832063961976,0.0019498407928159995,25.67%
28,41,2010 or later,506,Burmese,0.0001619792973811853,0.0030171848353666535,39.72%
29,41,Born in US,284,Burmese,9.0913281534104e-05,0.0016934397099686357,22.29%
30,42,1950 - 1959,2,Cambodian,6.402343770007325e-07,1.1925631760342504e-05,0.10%
31,42,1960 - 1969,3,Cambodian,9.603515655010987e-07,1.7888447640513757e-05,0.14%
32,42,1970 - 1979,98,Cambodian,3.137148447303589e-05,0.0005843559562567827,4.69%
33,42,1980 - 1989,630,Cambodian,0.0002016738287552307,0.003756574004507889,30.17%
34,42,1990 - 1999,141,Cambodian,4.513652357855164e-05,0.0008407570391041465,6.75%
35,42,2000 - 2009,184,Cambodian,5.890156268406738e-05,0.0010971581219515103,8.81%
36,42,2010 or later,160,Cambodian,5.121875016005859e-05,0.0009540505408274003,7.66%
37,42,Born in US,870,Cambodian,0.0002785019539953186,0.005187649815748989,41.67%
38,43,1950 - 1959,222,Chinese,7.10660158470813e-05,0.001323745125398018,0.53%
39,43,1960 - 1969,906,Chinese,0.0002900261727813318,0.005402311187435154,2.15%
