,RACE2,Born in US,Before 1950,1950 - 1959,1960 - 1969,1970 - 1979,1980 - 1989,1990 - 1999,2000 - 2009,2010 or later,% Immigrated
0,Asian-Indian,0.29663418715754813,0.00016194769089584063,0.0012685902453507516,0.011093416826365084,0.044427649869092284,0.08051499365704877,0.13514534805257902,0.17970795433075118,0.251045912170369,0.7033658128424518
1,Bangladeshi,0.27455357142857145,0.0,0.0005580357142857143,0.004464285714285714,0.021763392857142856,0.049107142857142856,0.15848214285714285,0.203125,0.28794642857142855,0.7254464285714286
2,Bhutanese,0.16666666666666666,0.0,0.0,0.005376344086021506,0.005376344086021506,0.0,0.021505376344086023,0.3709677419354839,0.43010752688172044,0.8333333333333334
3,Burmese,0.22291993720565148,0.0,0.0,0.002354788069073783,0.019623233908948195,0.0282574568288854,0.07299843014128729,0.2566718995290424,0.39717425431711145,0.7770800627943485
4,Cambodian,0.4166666666666667,0.0,0.0009578544061302681,0.0014367816091954023,0.04693486590038314,0.3017241379310345,0.06752873563218391,0.08812260536398467,0.07662835249042145,0.5833333333333333
5,Chinese,0.2998288729381566,0.002091552978086229,0.0052764177401720775,0.02153348861529686,0.058753624566240434,0.1181965109093502,0.14236820839473308,0.15197033797594714,0.1999809858820174,0.7001711270618434
6,Filipino,0.2896647331363321,0.0011674145416073838,0.005946517821312612,0.029878515924263983,0.08883295027543686,0.1322826602458867,0.1368063915946153,0.17427310203932728,0.14114771442121776,0.7103352668636679
7,Hmong,0.6593086214077468,0.0,0.00041649312786339027,0.003748438150770512,0.05206164098292378,0.12203248646397334,0.08871303623490212,0.052478134110787174,0.0212411495210329,0.3406913785922532
8,Indonesian,0.2175925925925926,0.0,0.012345679012345678,0.041666666666666664,0.032407407407407406,0.06944444444444445,0.1712962962962963,0.24228395061728394,0.21296296296296297,0.7824074074074074
9,Japanese,0.5656833081190116,0.003656076651538074,0.025214321734745335,0.036308623298033284,0.04740292486132123,0.05395864851235502,0.06770045385779122,0.06366616238023197,0.13640948058497226,0.4343166918809884
10,Korean,0.2815466219988833,0.00013958682300390843,0.0034896705750977106,0.021147403685092128,0.12220826353992183,0.1670854271356784,0.13574818537130096,0.15173087660524848,0.1169039642657733,0.7184533780011166
11,Laotian,0.4034440344403444,0.0,0.0006150061500615006,0.0024600246002460025,0.0984009840098401,0.33456334563345635,0.08425584255842558,0.05166051660516605,0.024600246002460024,0.5965559655596556
12,Malaysian,0.17582417582417584,0.0,0.0,0.005494505494505495,0.01098901098901099,0.1043956043956044,0.14285714285714285,0.17582417582417584,0.38461538461538464,0.8241758241758241
13,Mongolian,0.2236842105263158,0.0,0.019736842105263157,0.0,0.006578947368421052,0.02631578947368421,0.10526315789473684,0.32894736842105265,0.2894736842105263,0.7763157894736842
14,Nepalese,0.17131147540983607,0.0,0.0,0.000819672131147541,0.006557377049180328,0.012295081967213115,0.04836065573770492,0.3139344262295082,0.44672131147540983,0.828688524590164
15,Other-Asian,0.4511512134411948,0.0,0.001866832607342875,0.0074673304293715,0.038581207218419414,0.06969508400746734,0.10080896079651525,0.13503422526446796,0.19539514623522092,0.5488487865588052
16,Pakistani,0.32699976542341075,0.0002345765892563922,0.0007037297677691766,0.005629838142153413,0.038939713816561104,0.08585503166783955,0.15317851278442413,0.19634060520760027,0.1921182266009852,0.6730002345765893
17,Sri-Lankan,0.23119266055045873,0.0,0.0,0.005504587155963303,0.045871559633027525,0.08073394495412844,0.10091743119266056,0.23302752293577983,0.30275229357798167,0.7688073394495413
18,Taiwanese,0.3210148924434639,0.0,0.0005515719801434088,0.024269167126309985,0.09045780474351903,0.14837286265857694,0.14947600661886376,0.12961941533370105,0.13623827909542197,0.6789851075565361
19,Thai,0.19197117858980958,0.0,0.001544004117344313,0.0319094184251158,0.1610910962429233,0.10962429233144622,0.10499227997941328,0.1914565105506948,0.2074112197632527,0.8080288214101904
20,Vietnamese,0.318017703237829,0.000815280689494526,0.0009317493594223154,0.004658746797111577,0.09963894712322385,0.14471232238527837,0.18885394828791055,0.11972979268576753,0.12264150943396226,0.6819822967621709
