,RACE,JOB,ST,RACE2,% Total Pop,% Asian Pop,% Race Pop
0,38,Art,2002,Asian-Indian,0.0011154116799537343,0.01963033779477374,9.10%
1,38,Business,4865,Asian-Indian,0.0027105283831043545,0.047703093592194934,22.11%
2,38,Healthcare,2290,Asian-Indian,0.0012758705030439818,0.02245428249252341,10.41%
3,38,Maintenance,317,Asian-Indian,0.00017661613513752936,0.0031083002402314064,1.44%
4,38,Military,12,Asian-Indian,6.685784295426979e-06,0.00011766436240623621,0.05%
5,38,Production,617,Asian-Indian,0.00034376074252320387,0.006049909300387312,2.80%
6,38,Sales,3452,Asian-Indian,0.0019232772823178277,0.03384811491886062,15.69%
7,38,Science,6025,Asian-Indian,0.0033568208649956293,0.059077315291464434,27.39%
8,38,Services,1614,Asian-Indian,0.0008992379877349287,0.01582585674363877,7.34%
9,38,Transport,806,Asian-Indian,0.0004490618451761788,0.007903123008285532,3.66%
10,39,Art,99,Bangladeshi,5.515772043727258e-05,0.0009707309898514487,10.61%
11,39,Business,120,Bangladeshi,6.68578429542698e-05,0.0011766436240623621,12.86%
12,39,Healthcare,52,Bangladeshi,2.8971731946850244e-05,0.0005098789037603569,5.57%
13,39,Maintenance,11,Bangladeshi,6.128635604141398e-06,0.0001078589988723832,1.18%
14,39,Production,28,Bangladeshi,1.5600163355996285e-05,0.0002745501789478845,3.00%
15,39,Sales,249,Bangladeshi,0.00013873002413010982,0.0024415355199294015,26.69%
16,39,Science,123,Bangladeshi,6.852928902812654e-05,0.0012060597146639211,13.18%
17,39,Services,140,Bangladeshi,7.800081677998143e-05,0.0013727508947394224,15.01%
18,39,Transport,111,Bangladeshi,6.184350473269956e-05,0.0010883953522576849,11.90%
19,40,Art,3,Bhutanese,1.6714460738567448e-06,2.9416090601559052e-05,3.16%
20,40,Business,5,Bhutanese,2.785743456427908e-06,4.902681766926509e-05,5.26%
21,40,Healthcare,2,Bhutanese,1.1142973825711633e-06,1.9610727067706036e-05,2.11%
22,40,Maintenance,4,Bhutanese,2.2285947651423266e-06,3.922145413541207e-05,4.21%
23,40,Production,21,Bhutanese,1.1700122516997214e-05,0.00020591263421091338,22.11%
24,40,Sales,9,Bhutanese,5.0143382215702345e-06,8.824827180467715e-05,9.47%
25,40,Science,2,Bhutanese,1.1142973825711633e-06,1.9610727067706036e-05,2.11%
26,40,Services,32,Bhutanese,1.7828758121138613e-05,0.0003137716330832966,33.68%
27,40,Transport,17,Bhutanese,9.471527751854887e-06,0.0001666911800755013,17.89%
28,41,Art,40,Burmese,2.2285947651423263e-05,0.0003922145413541207,6.23%
29,41,Business,38,Burmese,2.1171650268852102e-05,0.00037260381428641466,5.92%
30,41,Healthcare,27,Burmese,1.5043014664710703e-05,0.00026474481541403146,4.21%
31,41,Maintenance,28,Burmese,1.5600163355996285e-05,0.0002745501789478845,4.36%
32,41,Production,164,Burmese,9.137238537083539e-05,0.001608079619551895,25.55%
33,41,Sales,81,Burmese,4.512904399413211e-05,0.0007942344462420944,12.62%
34,41,Science,36,Burmese,2.0057352886280938e-05,0.0003529930872187086,5.61%
35,41,Services,145,Burmese,8.078656023640933e-05,0.0014217777124086875,22.59%
36,41,Transport,83,Burmese,4.624334137670327e-05,0.0008138451733098004,12.93%
37,42,Art,72,Cambodian,4.0114705772561876e-05,0.0007059861744374172,5.62%
38,42,Business,124,Cambodian,6.908643771941212e-05,0.0012158650781977742,9.68%
39,42,Healthcare,57,Cambodian,3.175747540327815e-05,0.000558905721429622,4.45%
40,42,Maintenance,70,Cambodian,3.9000408389990715e-05,0.0006863754473697112,5.46%
41,42,Military,5,Cambodian,2.785743456427908e-06,4.902681766926509e-05,0.39%
42,42,Production,239,Cambodian,0.000133158537217254,0.002343481884590871,18.66%
43,42,Sales,246,Cambodian,0.00013705857805625308,0.0024121194293278423,19.20%
44,42,Science,90,Cambodian,5.014338221570234e-05,0.0008824827180467715,7.03%
45,42,Services,283,Cambodian,0.0001576730796338196,0.002774917880080404,22.09%
46,42,Transport,95,Cambodian,5.2929125672130255e-05,0.0009315095357160367,7.42%
47,43,Art,3097,Chinese,0.0017254894969114462,0.030367210864342794,12.11%
48,43,Business,5078,Chinese,0.0028292010543481834,0.049791636024905626,19.86%
49,43,Healthcare,1597,Chinese,0.0008897664599830738,0.015659165563563268,6.25%
50,43,Maintenance,625,Chinese,0.0003482179320534885,0.006128352208658136,2.44%
51,43,Military,18,Chinese,1.0028676443140469e-05,0.0001764965436093543,0.07%
52,43,Production,820,Chinese,0.00045686192685417693,0.008040398097759475,3.21%
53,43,Sales,4800,Chinese,0.0026743137181707917,0.047065744962494487,18.78%
54,43,Science,4558,Chinese,0.002539483734879681,0.044692846987302054,17.83%
55,43,Services,4087,Chinese,0.002277066701284172,0.04007452076285728,15.99%
56,43,Transport,885,Chinese,0.0004930765917877398,0.00867774672745992,3.46%
57,44,Art,215,Taiwanese,0.00011978696862640004,0.0021081531597783986,18.01%
58,44,Business,262,Taiwanese,0.0001459729571168224,0.0025690052458694906,21.94%
59,44,Healthcare,108,Taiwanese,6.017205865884281e-05,0.0010589792616561258,9.05%
60,44,Maintenance,12,Taiwanese,6.685784295426979e-06,0.00011766436240623621,1.01%
61,44,Military,2,Taiwanese,1.1142973825711633e-06,1.9610727067706036e-05,0.17%
62,44,Production,10,Taiwanese,5.571486912855816e-06,9.805363533853018e-05,0.84%
63,44,Sales,173,Taiwanese,9.638672359240562e-05,0.001696327891356572,14.49%
64,44,Science,299,Taiwanese,0.0001665874586943889,0.0029318036966220523,25.04%
65,44,Services,95,Taiwanese,5.2929125672130255e-05,0.0009315095357160367,7.96%
66,44,Transport,18,Taiwanese,1.0028676443140469e-05,0.0001764965436093543,1.51%
67,45,Art,1285,Filipino,0.0007159360683019724,0.012599892141001127,7.15%
