,RACE2,Unnamed: 0,ST,Est. Count,% Pop,Race1,Race2,RACE,% Total Pop,% Asian Pop
0,American Indian,15,17741,1774100,0.72%,American Indian (0.72%),American Indian (0.72%),,,
2,Black,87,232598,23259800,9.44%,Black (9.44%),Black (9.44%),,,
3,Hispanic,123,321488,32148800,13.04%,Hispanic (13.04%),Hispanic (13.04%),,,
4,Native Alaskan,159,3320,332000,0.13%,Native Alaskan (0.13%),Native Alaskan (0.13%),,,
5,White,195,1755822,175582200,71.24%,White (71.24%),White (71.24%),,,
0,Asian-Indian,15,27582,2758200,20.64%,Asian (5.42%),Asian-Indian (20.64%),228,0.011191191,0.206377948
1,Bangladeshi,51,1261,126100,0.94%,Asian (5.42%),Bangladeshi (0.94%),234,0.000511641,0.009435233
2,Bhutanese,87,129,12900,0.10%,Asian (5.42%),Bhutanese (0.10%),240,5.23E-05,0.000965222
3,Burmese,123,830,83000,0.62%,Asian (5.42%),Burmese (0.62%),246,0.000336766,0.006210344
4,Cambodian,159,1651,165100,1.24%,Asian (5.42%),Cambodian (1.24%),252,0.000669881,0.012353346
5,Chinese,195,34193,3419300,25.58%,Asian (5.42%),Chinese (25.58%),258,0.013873555,0.255843709
6,Filipino,267,22905,2290500,17.14%,Asian (5.42%),Filipino (17.14%),270,0.009293533,0.171383036
7,Hmong,303,1547,154700,1.16%,Asian (5.42%),Hmong (1.16%),276,0.000627684,0.011575183
8,Indonesian,339,541,54100,0.40%,Asian (5.42%),Indonesian (0.40%),282,0.000219507,0.004047947
9,Japanese,375,7209,720900,5.39%,Asian (5.42%),Japanese (5.39%),288,0.002924998,0.053940201
10,Korean,411,11883,1188300,8.89%,Asian (5.42%),Korean (8.89%),294,0.004821439,0.088912666
11,Laotian,447,1332,133200,1.00%,Asian (5.42%),Laotian (1.00%),300,0.000540449,0.009966479
12,Malaysian,483,152,15200,0.11%,Asian (5.42%),Malaysian (0.11%),306,6.17E-05,0.001137316
13,Mongolian,519,118,11800,0.09%,Asian (5.42%),Mongolian (0.09%),312,4.79E-05,0.000882916
14,Nepalese,555,899,89900,0.67%,Asian (5.42%),Nepalese (0.67%),318,0.000364763,0.006726625
15,Other-Asian,735,1141,114100,0.85%,Asian (5.42%),Other-Asian (0.85%),348,0.000462952,0.008537352
16,Pakistani,591,3073,307300,2.30%,Asian (5.42%),Pakistani (2.30%),324,0.001246847,0.022993236
17,Sri-Lankan,627,415,41500,0.31%,Asian (5.42%),Sri-Lankan (0.31%),330,0.000168383,0.003105172
18,Taiwanese,231,1534,153400,1.15%,Asian (5.42%),Taiwanese (1.15%),264,0.000622409,0.011477912
19,Thai,663,1682,168200,1.26%,Asian (5.42%),Thai (1.26%),336,0.000682459,0.012585299
20,Vietnamese,699,13571,1357100,10.15%,Asian (5.42%),Vietnamese (10.15%),342,0.005506332,0.101542859
